Key,Value,
AllyMessage,道友团留言,
MessageBox,留言输入框,
IsMessage,确认留言,
AllyName,道友团名称,
NameBox,道友团名称输入框,
IsChange,确认修改,
AllyNotice,道友团公告,
NoticeBox,道友团公告输入框,
IsSend,确认发送,
Lv,等级:,
AllyIntimacy,"<f>你当前与|1|的亲密度<h img='#dynamic/dynamic_new/ally/ally.xml,ally,3'>H</h>|2|</f>",
Notice,<f color='ffffba00'>【通知】</f>,
Message,<f color='ff00d600'>【留言】</f>,
System,<f color='fff403db'>【系统】</f>,
IsKick,踢出确认,
ChangeMaster,道友队伍主变更,
IsLeave,退出确认,
MasterLeaveNotice,道友队长转让后才能退出,
AskIsLeave,你确认退出道友队伍吗？,
AskChangeMaster,确定将道友队长转让给|1|吗？,
AskIsKick,确定要把|1|踢出道友团吗？,
BeforeMinute,分钟前,
BeforeHour,小时前,
BeforeDay,天前,
Just,刚刚,
RapidApplicationTeam,已向您的道友发送快速组队申请,
ChangeNamePrompt,只有盟主才能修改盟名称,
Word1,请注意，道友团人数已经只有2人，如果你现在踢出该道友，道友团将自动解散，你确认要这么做吗？,
Word2,请注意，道友团人数已经只有2人，如果你现在退出道友团，该队伍将自动解散，你确认要这么做吗？,
Word3,请注意，7天内只可修改1次,
Word4,您对|1|的亲密度提高了|2|点,
Word5,已发送组队申请,
word6,暂无排名,
AllyWarSignTimeLeft,离报名截止时间还剩：,
AllyWarOpneTimeLeft,离活动开始时间还剩：,
AllyMasterNotSign,道友团队长没有报名本次比赛,
AllyMasterSign,道友团队长已报名参战，快去援助,
AllySignTime,开赛前10分钟道友团队长主参与报名,
AllyWarIn,加入,
AllyWarSign,报名参赛,
AllyWarSignSuccess,报名成功,
AllyWarAttend,参加道友团战,
AllyWarMsg1,您的道友团队长已经报名参加今天的团战<br/>您是否助战参赛,
AllyWarMsg2,道友团战即将开始，是否立即前往战场？<br/>（如选取消，可从道友团战界面参战）<br/><f color='ffff1f00'> 　　　　　　　{0}</f>,
Quit,退出(|1|),
Quit2,退出后当前的道友团战可在活动期间通过盟战界面再次进入，您确定要现在退出吗？,
Quit3,(%d秒后自动复活）,
colour1,5e5e5e,
colour2,00d600,
InviteNotice,已发送道友申请,
FriendNumber,好友(|1|),
