Key,Value,
1,生命+{A},
2,生命+{A}%,
3,法力+{A},
4,法力+{A}%,
5,攻击+{A},
6,攻击+{A}%,
7,物攻+{A},
8,最小物攻+{A},
9,最大物攻+{A},
10,物攻+{A}%,
11,魔攻+{A},
12,最小魔攻+{A},
13,最大魔攻+{A},
14,魔攻+{A}%,
15,命中+{A},
16,命中+{A}%,
17,闪避+{A},
18,闪避+{A}%,
19,暴击+{A},
20,暴击+{A}%,
21,抗暴+{A},
22,抗暴+{A}%,
23,防御+{A},
24,防御+{A}%,
25,物防+{A},
26,物防+{A}%,
27,魔防+{A},
28,魔防+{A}%,
29,无视{A}物防,
30,无视{A}魔防,
31,无视{A}%物防,
32,无视{A}%魔防,
33,移动速度+{A}%,
34,技能冷却时间-{A}%,
35,每5秒恢复{A}生命,
36,每5秒回复{A}法力,
37,【{A}】等级+{B},
38,银两掉落+{A}%,
39,杀怪经验+{A}%,
40,恢复{A}生命,
41,恢复{A}法力,
42,恢复{A}%生命,
43,恢复{A}%法力,
44,恢复{A}%生命和法力,
45,治疗效果+{A}%,
46,受到的治疗效果+{A}%,
108,物攻+{A}-{B},
109,魔攻+{A}-{B},
110,无,
111,当前无任务可做，仙友可尝试通过幻境挂机，皓月镜获得修为！,
112,<f>(<f color='FFF00A15'>未通过</f>)</f>
113,<f>(<f color='FF00D600'>已通过</f>)</f>
114,兑换成功
115,当前银两不足
116,当前修为不足
117,总属性:{0}
118,已镶嵌：{0}/{1}
119,{0}级
120,{0}级开启
121,{0}级后开放兑换属性功能
122,(已达到等级上限)
123,(升阶后才可继续升级)
124,没有仙盟
125,你该部位没有装备，无法对比
126,强化到{0}级获得:{1}
127,已强化到最大 获得:{0}
128,{0}段:{1}/{2}级
129,强化部位:
130,强化前等级：
131,强化后等级:
132,消耗材料：
133,对比
134,镶嵌部位:
135,全身镶嵌宝石：
136,单场奖励
137,赛季奖励
138,"<f>上赛季排名:<f color='ff00f012'>{0}</f>，请在上方领取奖励</f>"
139,"<f>上赛季排名:<f color='ff00f012'>无排名</f></f>"
140,暂无排名
141,级
142,境界突破
143,改名成功
144,线
