Key,Value,
putin,输入兑换数量,
can_change,<f bcolor='ff000000' border= '8' size= '20' color='ffe7e5d1'>可兑换<f bcolor='ff000000' border= '8' color='ffffba00'>(|1|)</f></f>,
need_lv,<f size= '20'>需等级：<f color='ffe0db82'>|1|</f></f>,
no_change,不足，无法兑换,
gold,银两,
diamond,元宝,
have,拥有：,
condition,条件不满足,
condition_1,<f size= '18'>需要<f color='ffe0db82'>|1|</f></f>,
condition_2,<f size= '18'>需要|1|</f>,
condition_3,<f size= '18'>需VIP<f color='ffe0db82'>|1|</f></f>,
condition_4,<f size= '18'>需阵营<f color='ffe0db82'>|1|</f></f>,
condition_5,<f size= '18'>需阵营声望<f color='ffe0db82'>|1|</f></f>,
condition_6,<f size= '18'>需仙盟等级<f color='ffe0db82'>|1|</f></f>,
condition_7,<f size= '18'>需竞技点数<f color='ffe0db82'>|1|</f></f>,
type_1,人物等级不足,
type_2,人物进阶等级不足,
type_3,月卡等级不足,
type_4,阵营不同,
type_5,阵营声望不足,
type_6,仙盟等级不足,
type_7,宗师币不足,
cash,绑元,
prestige,声望,
unload,兑换所需物品已装备，请前往卸下,
friendly,友情度,
