Key,Value,
daoyouAdd,已发送道友邀请，请等待对方回应,
daoqun_Change_Name,<b>是否修改道友团队名称为<f color = 'ff00d600'>%s</f></b>,
daoqun_Change_NameYes,确定,
daoqun_Change_NameNo,取消,
IsKick,踢出确认,
ChangeMaster,道友团队团长变更,
MasterLeaveNotice,道友团队转让后才能退出,
IsLeave,退出确认,
AskIsLeave,你确认退出道友团队吗？,
AskChangeMaster,确定将道友团队转让给|1|吗？,
AskIsKick,确定要把|1|踢出道友团队吗？,
Word1,请注意，道友团队人数已经只有2人，如果你现在踢出该道友，道友团队将自动解散，你确认要这么做吗？,
Word2,请注意，道友团队人数已经只有2人，如果你现在退出道友团队，该道友团队将自动解散，你确认要这么做吗？,
Word3,请注意，7天内只可修改1次,
Word4,您对|1|的亲密度提高了|2|点,
Word5,已发送组队申请,
word6,暂无排名,
message,留言,
send,发表,
notice,公告,
comfirm,确认,
Notice,<f color='ffffba00'>【通知】</f>,
Message,<f color='ff00d600'>【留言】</f>,
System,<f color='fff403db'>【系统】</f>,
createTeamTip,队伍创建成功，已向道友发送邀请,
friendHasDaoqun,该好友已加入其他道友团队,
