Key,Value,
formatRecord,<f>{0}获得了{1}({2})</f>,
teamMemberInfo,队伍人数（{0}/{1}）,
hardName1,简单难度,
hardName2,普通难度,
hardName3,困难难度,
hardName_1,【简单】,
hardName_2,【普通】,
hardName_3,【困难】,
hardName_11,简单,
hardName_22,普通,
hardName_33,困难,
inviteTeam,<f><f color='ff5bc61a' link='{0}'>{1}:</f><font link='{2}'>【{3}】{4}，{5}，来{6}</font></f>,
inviteTeamToChat,<font color='ffffffff'><f color='ff5bc61a' link='{0}'>{1}:</f><font link='{2}'>【{3}】{4}，{5}，来{6}</font></font>,
slogans,强力苍狼带队|强力御剑带队|强力逸仙带队|强力神箭带队|强力灵狐带队,
comma,、,
funbenNameHard,【{0}】{1},
msgPreview:,消息预览：,
teamMsg:,组队消息：,
onlyTeamLeaderOperational,只有队长才能执行该操作,
onlyTeamLeaderCanReqEnter,只有队长可以发起进入副本挑战!,
cannotReqWithTeam,该模式只能单人挑战，请离开队伍后再作尝试!,
saodangTips,剩余扫荡次数不足，扫荡次数每日凌晨5点刷新!,
saodangTips1,扫荡至第{0}层,
saodangTips2,请通关任意塔层后再作尝试,
secondsEnter,秒后进入下一层
secondsExit,秒后离开
unLockHardTips,通关上一难度后解锁!,
friendsTitle,好友列表（{0}/{1}）,
enterWaitingTips,<f>准备挑战【<font color='ffef880e'>{0}</font>】（{1}），是否开始？</f>,
openEveryDay,每日开放,
openSomeDay,每周{0}开放,
needTeam,需要队伍,
averageTime:,平均时长：,
waiting:,已等待：,
cd:,倒计时：,
readyInfo,{0}/{1}已就绪,
matching,寻找小伙伴中…,
readying,进入副本确认,
teamMemberLessTips,<f>队伍人数尚未组满，是否进入副本？<br/>队伍人数：{0}/{1}</f>,
singleEnterTips,<f>单人挑战会导致难度较大，您确认要单人前往吗？</f>,
cancel,取消,
enter,确定进入,
ok,确定,
buyTimesTips,"<f>确定花费<h img='#static/static_pic/static001.xml,static001,88'>H</h><f color='ff00ffde'>{0}</f> 购买一次副本进入次数吗？</f>",
allpro,任意职业！,
getout,"<f>该副本还没有通关，您确定要退出吗？</f>",
demontowerGetout,"<f>退出副本将默认挑战失败，您确定要退出吗？</f>",
outjjc,"<f>退出后你将损失所有已收集的魂魄，是否继续退出？</f>",
digongmsg,当前版本地宫只有一个难度,
notopen,当前版本尚未开放,
notopen1,未开放,
goto,前往,
noprofit,无收益,
profitTimes,收益次数：{0},
confirmEnterDigong,是否现在需要进入“{0}”？,
costItem,消耗：{0},
mijingmsg,当前版本秘境只有一个难度,
notopenHard,当前版本只有一个难度,
levelnotenough,等级太低无法进入,
itemnotenough,您身上的{0}数量不足，无法进入该副本,
quitGuildDungeon,<f>您确定要现在退出仙盟副本吗？</f>,
quitHaoyuejing,<f>您确定要现在退出皓月镜副本吗？</f>,
quitGuildBoss,<f>您确定要现在退出仙盟BOSS战吗？</f>,
alreadyInTeam,您已经在队伍中,
cancelTime,取消({0}),
giveUpTime,放弃({0}),
someOneGiveUp,有队友拒绝进入该副本,
leave,离开副本,
leaveCD,%d
willLeaveFuben,即将离开副本
fubenTimeLeft,副本剩余时间
autoLeave,{0}秒后自动离开当前场景,
autoRelive,{0}秒后自动复活,
autoClose,{0}秒后自动关闭界面,
backBattle,回到战斗,
quit,依然退出,
title,确认退出,
gotoChallenge,前往挑战,
gotoButTimes,购买次数,
resFubenBuy,"<f>副本进入次数已用完，是否花费<a img='#static_n/func/common2.xml,common2,171'>s</a>%d购买一次进入次数？</f>",
resGuildBossInspire1,"<f>是否花费<a img='#static_n/func/common2.xml,common2,171'>s</a>%d进行一次鼓舞？(提升%s%s攻击力)</f>",
resGuildBossInspire2,"<f>是否花费<a img='#static_n/func/common2.xml,common2,171'>s</a>%d进行一次鼓舞？(提升%d防御)</f>",
resFubenBuyLimite,今日购买次数已达上限。,
connotSaodangRedFuben,手动挑战一次后才能使用扫荡功能,
resFubenExit,退出({0}),
resFubenOverTips1,抵御时间：{0}秒,
resFubenOverTips2,本次挑战您共抵御了：{0}波敌人,
resFubenOverTips3,消灭怪物：{0},
GetBox,已获得宝箱:
GetYZML,已获得妖尊密令:
GoToMijing,前往秘境
NotStart,尚未开启
NotStartTips,活动还尚未开启
NextStart,下次开启时间
TodayEnd,今日活动已全部结束
TodayStart,今日活动马上开始
MJIntrduce,"1.秘境为资源采集和争夺的玩法，里面有初级玄冰剑草、高级玄冰剑草和稀有宝箱. %s2.采集资源可获得初级、高级、稀有三类宝箱和妖尊密令，采集物越稀有，掉落越稀有. %s3.进入场景玩家默认为公会模式，并且不可切换切换攻击模式.%s4.秘境中击杀其他玩家不增加善恶值，并且被杀玩家会掉落已经获得宝箱和妖尊密令.%s5.玩家每日可获得的三类宝箱上限为100个、妖尊密令上限为1000个.%s6.活动开放时间为:%s" 
MJTitle,秘境玩法说明
RewardTitle,奖励预览
GetRewardTitle,已获奖励
dungeonnoidea,该副本您已无收益次数
enterDungeon,需要等级
