Key,Value,
quality1,白色,
quality2,绿色,
quality3,蓝色,
quality4,紫色,
quality5,橙色,
quality6,红色,
armorType1,重甲,
armorType2,轻甲,
armorType3,中甲,
armorType4,布甲,
proLimit1,苍狼,
proLimit2,御剑,
proLimit3,逸仙,
proLimit4,神剑,
proLimit5,灵狐,
proLimit0,所有职业,
needLv,需要等级:,
sellPrice,售价:,
durability,耐久:,
attrRandom,随机属性,
attrMagic,附魔特效:,
gemSlot,宝石插槽,
emptySlot,可镶嵌宝石,
emptyMagic,无附魔,
inlay,镶嵌在,
score,评分:,
or,或,
cantSell,不可交易,
maxLimit,上限,
unidentified,未鉴定,
btnSell,出售,
btnEquip,装备,
btnUnequip,卸下,
btnDiscard,丢弃,
btnIdentify,鉴定,
btnDecompose,分解,
btnSmithyBuy,购买,
btnPut,放置,
btnRegister,登记,
btnUpgrade,升级,
btnTakedown,取下,
btnShow,展示,
btnCancel,取消,
btnUse,使用,
btnUseAll,全部使用,
proDesc,职业:,
upLevelDesc,进阶等级:,
enLevelDesc,<color=#%s>    部位强化: [+%d]</color>,
starAttrDesc,<color=#%s>    星级加成: %s</color>,
levelDesc,等级:,
btnCompare,对比,
btnStrengthen,加工,
btnClose,关闭,
btnReplace,替换,
useLevel,使用等级:%s级,
maxCount,每组堆叠上限:,
count,拥有:,
identify1,"<f size='22' color='ffffffff'>（使用<a img='#dynamic/dynamic_new/appraisal/appraisal.xml,appraisal,1'>s</a>%s进行鉴定，鉴定后可随机获得%s条属性）</f>",
identify2,"<f size='22' color='ffffffff'>鉴定消耗:<a img='#dynamic/dynamic_new/appraisal/appraisal.xml,appraisal,1'>s</a>%s</f>",
unkownScore,未知,
emptyAttr,-----------,
suitType1,主副手,
suitType2,7件防具,
suitType3,3件饰品,
lvSuffix,级,
advanceSuffix,阶,
suitDescFormat,<f>%s均为<lv color='ff00ffde'>%s</lv>以上<c color='%x'>%s品质</c></f>,
suitEmptyFormat,未满足任何%s的套装属性,
suitDesc,套装属性,
bagCountFormat,容量:{0}/{1},
meltWarn1,最多只能选择5件橙色装备,
meltWarn2,您选择的装备中，有部分装备带有强化、附魔、宝石。熔炼后无法返还，是否继续熔炼？,
selectMagicPaper,请选择附魔图纸,
selectGem,请选择要镶嵌的宝石,
canEquip,可装备,
CompareNotWear,该部位未穿装备,
NoJewel,无可用宝石,
NoMagicPaper,无可用附魔图纸,
moneyTipsFormat,<f size='22'><title color='ffffba00'>%s</title><br/><con color='ff00d600'>%s</con><br/><f color='ffe7e5d1'>来源</f><br/><src color='ff00d600'>%s</src></f>,
GetItemError,<f bcolor='ff000000' border= '8' size = '22' color='ff00ff00'>没有可拾取的物品</f>,
bagGridFmt1,<f color='ffcc00ff'>个人背包空间:%d</f>,
bagGridFmt2,<f>还可购买:%d</f>,
costDiamond,"<f>花费<a img='#static_n/func/common2.xml,common2,173'>s</a>%d</f>",
costBindDiamond,"<f>花费<a img='#static_n/func/common2.xml,common2,171'>s</a>%d</f>",
storeGridFmt1,<f color='ffcc00ff'>个人仓库空间:%d</f>,
storeGridFmt2,<f>还可购买:%d</f>,
storeGridFmt4,<f>可用空间<f color='ffcc00ff'>%d</f>个，还可购买<f color='fff43a1c'>%d</f>个</f>,
storeGridFmt3,<f>拥有:%d</f>,
storeOpPush,存入仓库,
storeOpPop,取出,
combineNumTitle,请输入合成数量,
buyNumTitle,请输入购买数量,
buyNumAvailable,<f>拥有:%d</f>,
StoreNumTitle,请输入存入数量,
StoreNumAvailable,<f>可存:%d</f>,
pickNumTitle,请输入取出数量,
pickNumAvailable,<f>可取:%d</f>,
useNumTitle,请输入使用数量,
useNumAvailable,<f>可用:%d</f>,
sellNumTitle,请输入出售数量,
sellNumAvailable,<f>可售:%d</f>,
alreadyMin,已为最小数量,
alreadyMax,已为最大数量,
costGold,"<f size='24'>获得<a img='#static_n/func/common2.xml,common2,172'>s</a>%d</f>",
inheritTips,"附魔效果不传承,是否传承？",
btnInherit,传承,
fullBagTitle,背包已满,
fullBag,<f bcolor='ff000000' border= '8' size = '22' color='ff00ff00'>背包已满</f>,
fullBagTips,您的背包已满，是否前往背包清理？,
btnBuyGrid,购买空间,
btnCleanBag,前往熔炼,
sellWarn,<f>您是否出售这件<c color='%x'>%s</c>品质的物品？</f>,
combine,合成,
inset,镶嵌,
unenoughMeta,材料不足,
unenoughDiamond,元宝不足,
meltSelectWarn,最多只能选择8件绿色装备,
meltWarnTitle,熔炼确认,
meltWarn,您选择的装备中，有橙色或绿色装备。熔炼后无法返还，是否继续熔炼？,
bloodMeltWarn,您选择的血脉中，有橙色或绿色血脉。熔炼后无法返还，是否继续熔炼？,
sellWarnTitle,出售确认,
amuletSpace,占用空间:,
both_hands,双手,
limit,(已满级),
enchantedTitle1,附魔效果,
enchantedTitle2,替换效果,
proTips,{0},
noBind,未绑定,
pickBind,获得即绑定,
equipBind,装备后绑定,
binded,已绑定,
buyBind,购买后绑定,
strengthenFailed,强化未成功，增加幸运值{0},
noPageUp,已经是第一页,
noPageDown,已经是最后一页,
noMyAuction,<f link='goto_submit'>没有任何上架的寄卖，请选择上架物品</f>,
noAutionItem,无可寄卖物品,
noFishingRod,仙友，携带鱼竿才能钓鱼哦,
unSubscrib,是否下架寄卖物品？,
subscribBack,是否收回寄卖物品？,
goodsUnder,寄卖物品已下架，您可以在邮件中查收。,
goodsBack,寄卖物品已收回，您可以在邮件中查收。,
enchantTitle,附魔确认,
enchantConfirm,该装备已有附魔属性，是否进行覆盖？,
inheritTitle,传承确认,
inheritConfirm,传承后，装备将<f color='ffff0000'>绑定</f>，绑定后无法交易。是否继续传承？,
bindTips,这件装备穿戴后将与你绑定，是否立即穿戴？,
inheritStrengthen,强化,
noMelt,该装备无法被熔炼,
noSorting,请先选择分类再进行排序,
chestTitle,宝箱开启确认,
chestContent,"<f>该宝箱需消耗<a img='#static/static_pic/static001.xml,static001,88'>s</a>%d进行开启，是否继续开启？</f>",
refineNotOpen,VIP%d开启,
noRefine,未精炼,
refineTips,<f>(该装备精炼属性最多<f color='ff00d600'>%d</f>阶，可通过重置属性改变精炼品质)</f>,
refineFail,精炼失败，更高品质的材料成功率更高哦,
refineRefreshTitle,重置确认,
refineRefresh,重置会随机刷新属性和品质，并保留当前阶数。是否重置这条精炼属性？,
noMention,知道了，不要再提醒我,
noItem,该类别无可合成的物品,
unableLvUp,该装备无法升级,
unableLvUpQcolor,橙色品质以上装备才可升级,
unableUpgrade,该装备无法升品,
unableLvgradeQcolor,橙色品质以上装备才可升品,
combineCost,"<f><f color='ffe7e5d1'>消耗：<h img='#static/static_pic/static001.xml,static001,87'>H</h></f><f color='|1|'>|2|</f></f>",
And,和,
Or,或,
wearNone,身上未穿装备,
bagNone,<f>背包中没有<f color='ffef880e'>橙色品质</f>以上装备</f>,
reset,"<f size='20' color='ffe7e5d1'>拥有<f color='fff403db'>精炼重置石</f><a img='#dynamic/dynamic_new/inheritance/inheritance.xml,inheritance,8'>s</a>:%s</f>",
notSmeltNoBind,取消勾选不熔炼非绑定装备后可勾选该装备,
notSmeltSelf,取消勾选不熔炼本职业装备后可勾选该装备,
equipStrengthen,请装备{0}后再强化,
equipPos1,武器•部位,
equipPos2,头部•部位,
equipPos3,上衣•部位,
equipPos4,腿部•部位,
equipPos5,肩部•部位,
equipPos6,护腕•部位,
equipPos7,鞋子•部位,
equipPos8,项链•部位,
equipPos9,戒指•部位,
equipPos10,护身符•部位,
melting0,所有白色品质装备（%d/%d）,
melting1,所有蓝色品质装备（%d/%d）,
melting2,所有紫色品质装备（%d/%d）,
melting3,所有橙色品质装备（%d/%d）,
haveNum,已拥有:%d,
inputText,请输入物品名称
sendmessage,宣传信息发送成功,
propaganda,我在寄卖行中上架了{0}，需要的来看看,
equipBack1,#static_n/func/common4.xml|common4|17,
equipBack2,#static_n/func/common4.xml|common4|15,
equipBack3,#static_n/func/common4.xml|common4|16,
equipBack4,#static_n/func/common4.xml|common4|20,
equipBack5,#static_n/func/common4.xml|common4|23,
equipBack6,#static_n/func/common4.xml|common4|19,
equipBack7,#static_n/func/common4.xml|common4|24,
equipBack8,#static_n/func/common4.xml|common4|21,
equipBack9,#static_n/func/common4.xml|common4|22,
equipBack10,#static_n/func/common4.xml|common4|18,
btnSmelt,熔炼,
activeBloodSoul,{0}件激活：,
jingyan,经验：
haveEquip,装备{0}件,
yongyou,拥有:
duidiemax,堆叠上限:
addProperty,属性加成:[{0}] 
wu,无
gao,"高•"
man,"(满)"
buweixiangqian,部位镶嵌:
shangjia,"<color=#ff0000>{0}分钟内上架</color>"
guoqi,"<color=#ff0000>已过期</color>"
equipLevel,装备%d级
rightequip,"右侧装备的重铸属性将被左侧装备所覆盖，传承后左侧装备会随机获得新的重铸属性。请确认是否传承？"
rightequip2, "<f color='ffff0000'>右侧装备评分大于左侧装备评分</f>（右侧装备的重铸属性将被左侧装备所覆盖，传承后左侧装备会随机获得新的重铸属性）。请确认是否传承？"
ok,确认
cancel,取消
notice,提示
notchuanqi,"<f size='22' color='ff00ff00'>当前选择的装备无传奇属性</f>"
chuanqiproperty1,各部位所具有的特殊传奇属性如下:
chuanqiproperty2,武器: 无视敌人物防.无视敌人魔防
chuanqiproperty3,防具: 受到物伤减少.受到魔伤减少
chuanqiproperty4,"首饰: 被控时间减少,受到伤害减免,技能冷却减少,所有伤害增加"
kaiguangqian,开光前属性：
kaiguanghou,开光后属性：
xiaohao,消耗：
kaiguang,开光
ji,{0}级
wuxiaohao,无消耗
baocun,保存
notopenlevel,"功能尚未开放，敬请期待"
randomproperty,随机获得{0}-{1}条扩展属性
randomproperty1,随机获得{0}条扩展属性
dazhao,打造
havedazhao,"该装备已拥有，是否确定再次打造？"
btnOK,确定
notdazhao," 该装备非本职业装备，是否确定打造？"
mindazhao," 该装备属于低等级装备，是否确定打造？"
chongzhutips,"该装备只能继续精炼这条属性，重铸后可解锁"
chongzhuqian,重铸前属性：
chongzhuhou,重铸后属性：
chongzhu,重铸
pingfengao,"<f color='ffff0000'>当前新重铸属性评分较高</f>，是否保存继续重铸？"
goonchongzhu,继续重铸
fanhui,返回
xilian,洗炼
chuancheng,传承


