Key,Value,
fame_notenough,没有足够的声望领取勋章,
1,<font size= '22' color='ff00d600'>已达最高爵位</font>,
2,<font size= '22'><font color='|1|'>当前爵位:</font><font  color='|2|'>|3|</font></font>,
3,"<font size= '22'><font color='|1|'>当前声望:<h img='#static/static_pic/static001.xml,static001,78'>H</h></font><font  color='|2|'>|3|</font></font>",
4,"<font size= '22'><font color='|1|'>需要声望:<h img='#static/static_pic/static001.xml,static001,78'>H</h></font><font  color='|2|'>|3|</font></font>",
5,<font size= '22'><font color='|1|'>|2|:</font><font  color='|3|'>|4|</font></font>,
6,"<font size= '22'><font color='ffe7e5d1'>|1|</font><font  color='ffff1f00'>|2|</font><font  color='ffe7e5d1'>声望<h img='#static/static_pic/static001.xml,static001,78'>H</h></font></font>",
7,可领取勋章,
8,<font size= '22'><font color='ffc5a13f'>领取消耗:<h img='|1|'>H</h></font><font  color='|2|'>|3|</font></font>,
9,<font size= '22'><font color='|1|'>|2|</font><font  color='ffe7e5d1'>|3|</font></font>,
10,(可领取),
11,<font size= '22' color='ff00d600'>您真的太赞了</font>,
12,"<font size= '22'><font color='ffe7e5d1'>是否花费<h img='#static/static_pic/static001.xml,static001,88'>H</h></font><font color='|1|'>|2|+</font><font color='|3|'><h img='#static/static_pic/static001.xml,static001,87'>H</h>|4|</font><font color='ffe7e5d1'>再次领取有可能更高属性的勋章？</font></font>",
13,<font size= '22' color='ff00d600'>敬请期待更多爵位</font>,
14,<font size= '22'><font color='|1|'>需要爵位:</font><font  color='|2|'>|3|</font></font>,
15,<font size= '22'><font color='ffc5a13f'>　　　　 <h img='|1|'>H</h></font><font  color='|2|'>|3|</font></font>,
16,领取确认,
17,已领取,
