Key,Value,
nomaterial,材料不足,
noenergy,精能不足,
luckvalue,幸运值: ,
maxstar,经验值已满,
dismount,下马,
riding,骑乘,
exe,经验 ,
Activated,(已激活),
mountusing,坐骑培养中...,
curexp,经验值:,
needmount,需要坐骑,
mountlevel,阶,
tocszero,零,
tocsone,一,
tocstwo,二,
tocsthree,三,
tocsfore,四,
tocsfive,五,
tocssex,六,
tocsseven,七,
tocseight,八,
tocsnine,九,
tocsten,十,
tocseleven,十一,
tocstwelve,十二,
tocsthirteen,十三,
tocsfourteen,十四,
tocsfifteen,十五,
tocssixteen,十六,
tocsseventeen,十七,
tocseightteen,十八,
tocsnineteen,十九,
tocstwenty,二十,
usemountwin,成功使用坐骑:%s,
usemountnow,获得坐骑:%s 是否现在使用,
mountattribute,阶坐骑属性预览,
NO_skin,没有可清除的皮肤,
NO_activation,%s未激活,
isuseing,已使用,
divide_mark,：,
level,<f><f color='ffddf2ff'>{0}阶</f><f color='ffffd984'>{1}星</f></f>,
starUp,升星,
upgrade,进阶,
use,使用,
used,已使用,
reset,还原,
ways,途径,
attrStr,<f size= '20'><f color='ffddf2ff'>%s: </f> <f color='ff00f012'>+%d</f></f>,
attrStr1,<f size= '20'><f color='ffddf2ff'>%s: </f> <f color='ffddf2ff'>%s</f>→<f color='ff00f012'>%s</f></f>,
attrStr2,<f size= '20'><f color='ffddf2ff'>%s: </f> <f color='ff00f012'>+%s</f></f>,
MaxLevel,已满级,
