Key,Value,
show_num,5,
show1,<f>我的|1|看着萌萌哒，打起架来杠杠哒！</f>,
show2,<f>看看我家|1|，我不是针对谁，我只想说，你们的宠物都是渣渣！</f>,
show3,<f>我家|1|虎躯一震，一股王霸之气铺面而来，不服你来打我呀！</f>,
show4,<f>大家过来看一看瞧一瞧我家|1|，极品八星八箭神宠一折出售啊，买到就是赚到！</f>,
show5,<f>好消息！我家极品神宠|1|出售啦，快来秒购啊，早买早享受，晚买哭着求，这宝贝比房价升值还快哦！</f>,
upLevel,进阶等级:,
nextUpLv,下一阶需要等级:,
noUpLv,未进阶,
highestUpLv,已进阶至顶级,
cost_currency,<f color='ffe7e5d1'>花费<h img='|1|'>H</h><font  color='|2|'>|3|</font>回收全部培养消耗</f>,
release,放生后将永久失去该宠物及其培养材料，您确定将其放生吗？,
release_title,放生确认,
rest,休息,
battle,出战,
recharge,是否立即前往充值,
resurrection,复活,
resurrection_title1,复活宠物,
resurrection_title2,无法放生待复活的宠物,
cost_resurrection,是否消耗<h img='|1|'>H</h><font  color='|2|'>|3|</font>立即复活宠物,
cost_resurrection_item,是否消耗<f color = '|2|'>|3|</f>张复活卷轴<h img = '|1|'>H</h>立即复活宠物,
loyalty,忠 诚 度:,
physical,宠物体力:,
exp,宠物经验:,
level_change,进阶后宠物等级变为,
level_have,宠物等级达到,
next_lv,下一级进阶需要<font color='fff43a1c'>|1|</font> 级,
pet_advanced,"进阶后宠物等级下降,属性获得提升",
select_all,该物品已全选，请换一种物品继续选择,
not_enough,需宠物达到<font color='fff43a1c'>|1|</font>才可升级该属性,
max_lvup,您太牛了，该属性已升至顶级,
need1,<f color='ffe7e5d1'>需宠物等级:<f color='|1|'>|2|</f></f>,
need2,<f><f color='|1|'>需宠物进阶等级:</f>|2|</f>,
need3,级开启,
need4,洗练属性(,
clear_reset,当前属性>1级，重置将清除洗练所获得的属性并重置该属性，是否重置？,
attribute_reset,当前属性非常稀有，是否重置,
show_success,消息发送成功,
top,已升至顶级,
illusion_title,幻化丹不足,
illusion,是否立即前往获取？,
dont_illusion,该宠物不能幻化,
now,当前属性,
next,升星属性,
n_star,星属性,
type_tips,这是一只|1|宠物,
no_function,敬请期待后续功能开放,
dont_have,您还未收集到该宠物,
no_pet,您还没拥有宠物,
no_type,敬请期待后续宠物加入,
book_cost,"<f><f color='ffe7e5d1'>消耗：<h img='#static/static_pic/static001.xml,static001,87'>H</h></f><f color='|1|'>|2|</f></f>",
skill_nocd,冷却:无,
skill_cd,冷却:|1|秒,
skill_cost,法力消耗:,
already_learn_higher,已经掌握了更高级的该技能,
cannot_learn_higher,该宠物无法掌握该技能,
notEnoughLv_learn,宠物|1|级可领悟，请主人帮我努力升级,
lock_limit,已达锁定个数上限,
skill_list,技能列表,
show_new1,我家|1|又领悟了全新技能|2|，羡慕吗？嫉妒吗？你来打我呀！,
show_new2,唉，没办法！我家|1|绝对是神兽血统，领悟了血脉中隐藏的全新技能|2|！,
show_new3,比土豪更可怕的生物出现了！脸豪我的宠物|1|又领悟了全新技能|2|！,
show_new,炫耀一下,
close,确定,
learn_new,<f>恭喜你的宠物领悟了新技能，技能总数达到了|1|！</f>,
learn_success,<f>领悟成功，原有技能【|1|】等级|2|替换为：</f>,
no_book,请先点击【加号】按钮选择技能书,
changeNotice,<f size= '24' color='ffe7e5d1'>宠物模式已更改为【|1|】</f>,
ptModel1,<f size= '24' color='fff43a1c'>主动</f>,
ptModel2,<f size= '24' color='ff40b4e5'>被动</f>,
ptModel3,<f size= '24' color='ff5bc61a'>跟随</f>,
exd_title,洗练丹不足,
exd,是否立即前往获取？,
call,召唤,
getway,获得途径,
cannotUp,宠物等级不可超过人物等级5级,
no_thispet,您还没拥有此宠物,
need_break,突破后可提升至下一等级,
breakTips,宠物已达到当前阶段最高等级，突破后可以继续升级，是否立即前往突破？,
go,前往,
cancel,取消,
breakTitle,宠物突破,
maxLevel,宠物已达最大阶数上限
relive,安全复活
secondrelive,{0}秒后复活
equipstrong,装备强化
skillstrong,技能提升
zuojistrong,坐骑培养
baoshixiangqian,宝石镶嵌
one,一阶
two,二阶
three,三阶
four,四阶
five,五阶
six,六阶
seven,七阶
eight,八阶
nine,九阶
ten,十阶
