Key,Value,
changeNotice,<f size= '24' color='ffe7e5d1'>对战模式已更改为【|1|】</f>,
pkModel1,<f size= '24' color='ff5bc61a'>和平</f>,
pkModel2,<f size= '24' color='fff43a1c'>善恶</f>,
pkModel3,<f size= '24' color='ffd570f1'>阵营</f>,
pkModel4,<f size= '24' color='ff697afc'>仙盟</f>,
pkModel5,<f size= '24' color='ff40b4e5'>队伍</f>,
pkModel6,<f size= '24' color='ffffba00'>本服</f>,
pkModel7,<f size= '24' color='ffb9217d'>全体</f>,
nameColor1,e7e5d1,
nameColor2,ff7b06,
nameColor3,f53408,
nameColor4,db0368,
msgSent,消息已发送成功,
canNotRide,<f bcolor='ff000000' border= '8' size = '22' color='ffddf2ff'>当前状态无法使用坐骑</f>,
canNotRideByBattle,<f bcolor='ff000000' border= '8' size = '22' color='ffddf2ff'>战斗状态无法使用坐骑</f>,
beBusy,<f bcolor='ff000000' border= '8' size = '22' color='ff00ff00'>你正在忙碌</f>,
canNotAttack,<f bcolor='ff000000' border= '8' size = '22' color='ff00ff00'>安全区域无法攻击</f>,
underAttack,<f bcolor='ff000000' border= '8' size = '22' color='ff00ff00'>你正在遭受攻击</f>,
back,回 城,
rebirth,立即复活,
canNotChange,<f bcolor='ff000000' border= '8' size = '22' color='ff00ff00'>安全地图不能切换攻击模式</f>,
mpNotEnough,<f bcolor='ff000000' border= '8' size = '22' color='ff00ff00'>法力值不足</f>,
dungeonback,(%d秒后自动离开当前场景）,
needTarget,<f bcolor='ff000000' border= '8' size = '22' color='ff00ff00'>该技能需要一个施法目标</f>,
pk_num,善恶值 ,
now_pknum,当前善恶值:<f color='|3|'>|1|</f><br/>（每分钟自动减少1点善恶值）<br/><br/>可在商城购买“清心水”减少善恶值。
day,天,
huor,小时,
minute,分,
canNotSkill,您当前无法使用技能,
noSpace,组队背包已满,
canNotInterServer,<f bcolor='ff000000' border= '8' size = '22' color='ff00ff00'>当前状态下无法进入该场景</f>,
set_soul,<f bcolor='ff000000' border= '8' size = '22' color='ff00ff00'>放置法器成功</f>,
get_soul,<f bcolor='ff000000' border= '8' size = '22' color='ff00ff00'>收起法器成功</f>,
safeguard,<f bcolor='ff000000' border= '8' size = '22' color='ff00ff00'>新手保护玩家不可攻击</f>,
first_cannot_auto,<f bcolor='ff000000' border= '8' size = '22' color='ff00ff00'>自动战斗在副本通关后开启</f>,
refineItem_blink,<f bcolor='ff000000' border= '8' size = '22' color='ff00ff00'>圣灯发出了耀眼的光芒，请开启法器</f>,
onlyTeam,组队情况下只能选择“队伍模式”
