Key,Value,
rewardPk_success,悬赏发布成功。,
rewardPk_first,已经是第一页了。,
rewardPk_last,已经是最后一页了。,
rewardPk_word01,悬赏管理员卡尔：被人恶意攻击了？没关系，到我这里发布悬赏令，让全服的玩家来追杀他。你所需要的只是付出一点小小的代价。,
rewardPk_word02,<b>规则说明：<br/>        悬赏玩家需要1枚<f color='FFF403DB'>悬赏令</f>，被悬赏玩家名字旁会出现【悬赏】标记，被其他玩家击杀后将掉落悬赏标记。凭标记击杀者可到悬赏管理员处领取赏金和<f color='FFF403DB'>悬赏徽章</f>。</b>,
rewardPk_word03,<b>悬赏管理员：拿人钱财与人消灾，你今天干掉了几个？<br/>领取赏金后，还会获得<f color='FFF403DB'>【赏金徽章】</f>，拿去兑换你喜欢的礼物吧。</b>,
rewardPk_tip01,领取赏金确认,
rewardPk_tip02,"领取赏金可获得%s,是否领取？",
rewardPk_tip03,取消,
rewardPk_tip04,确定,
