Key,Value,
unlearned,未学习,
type0,被动技能,
type1,主动技能,
type2,强化天赋,
type3,普通攻击,
type4,被动技能,
type5,被动技能,
second,秒,
none,无,
lv_max,已升至最高等级,
lv_ne,人物等级%d级以上才可继续升级,
gold_ne,你没有足够的银两,
sp_ne,技能点不足,
dm_ne,元宝不足,
lb_need0,学习所需,
lb_need1,升级所需,
talent,天赋【%s】,
no_control,(未掌握),
lv,等级：%d,
lv_open,%d级获得,
current_lv,等级%d/%d,
upskill,升级,
max_lv,已满级,
book_ne,你没有足够的技能书,
skill_ne,你还未掌握该技能,
detail_font,<font size='22' color='ff00d600'>%g</font>,
no_quick,该技能无需设置快捷键,
need_talent,升级天赋需要掌握【%s】,
activation,激活,
already_activation,已激活,
unlock,{0}级,
unlock_all,请先解锁所有技能,
unlock_self,请先解锁该技能,
