Key,Value,
1,生命:{A},
2,生命:{A}%,
3,法力:{A},
4,法力:{A}%,
5,攻击:{A},
6,攻击:{A}%,
7,物攻:{A},
8,最小物攻:{A},
9,最大物攻:{A},
10,物攻:{A}%,
11,魔攻:{A},
12,最小魔攻:{A},
13,最大魔攻:{A},
14,魔攻:{A}%,
15,命中:{A},
16,闪避:{A},
17,暴击:{A},
18,抗暴:{A},
19,防御:{A},
20,防御:{A}%,
21,物防:{A},
22,物防:{A}%,
23,魔防:{A},
24,魔防:{A}%,
25,无视敌人{A}物防,
26,无视敌人{A}魔防,
27,无视敌人{A}%物防,
28,无视敌人{A}%魔防,
29,移动速度:{A}%,
30,技能冷却时间-{A}秒,
31,每5秒恢复{A}生命,
32,每5秒回复{A}法力,
33,治疗效果:{A}%,
34,受到的治疗效果:{A}%,
35,在命中敌人时，有{C}几率提高物攻{A}，持续{B}秒,
36,在命中敌人时，有{C}几率提高魔攻{A}，持续{B}秒,
108,物攻:{A}-{B},
109,魔攻:{A}-{B},
